content_id,content_type,title,category,publish_date,source,source_url,status
cdc_k_295013,knowledge,患有高血脂 这样来食养,慢性非传染性疾病,2023-03-06,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/xxg/202408/t20240823_295013.html,published
cdc_k_295028,knowledge,患有高血压 这样来食养,慢性非传染性疾病,2023-02-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/xxg/202408/t20240823_295028.html,published
cdc_k_295029,knowledge,世界帕金森病日 | 关注心理健康，全面全程抗帕,慢性非传染性疾病,2023-04-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295029.html,published
cdc_k_295030,knowledge,儿童心理保健预见性指导（一）新生儿期,慢性非传染性疾病,2024-03-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295030.html,published
cdc_k_295031,knowledge,儿童心理保健预见性指导（二）｜1-3个月婴儿,慢性非传染性疾病,2024-03-21,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295031.html,published
cdc_k_295032,knowledge,儿童心理保健预见性指导（三）｜3-6个月婴儿,慢性非传染性疾病,2024-03-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295032.html,published
cdc_k_295033,knowledge,儿童心理保健预见性指导（四）｜6-8个月婴儿,慢性非传染性疾病,2024-03-26,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295033.html,published
cdc_k_295034,knowledge,儿童心理保健预见性指导（五）｜8-12个月婴儿,慢性非传染性疾病,2024-03-27,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295034.html,published
cdc_k_295038,knowledge,儿童心理保健预见性指导（六）｜12-18个月婴儿,慢性非传染性疾病,2024-03-29,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295038.html,published
cdc_k_295041,knowledge,儿童心理保健预见性指导（七）｜18-24个月幼儿,慢性非传染性疾病,2024-04-01,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/shfk/202408/t20240823_295041.html,published
cdc_k_295042,knowledge,儿童哮喘能否自愈？规范管理是关键,慢性非传染性疾病,2023-03-07,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/mxhx/202408/t20240823_295042.html,published
cdc_k_295043,knowledge,2023年世界慢阻肺日-“肺系生命，刻不容缓”,慢性非传染性疾病,2023-11-15,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/mxhx/202408/t20240823_295043.html,published
cdc_k_295114,knowledge,暑假“慧吃慧动”，让“神兽”远离肥胖（一）,慢性非传染性疾病,2024-08-08,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295114.html,published
cdc_k_295115,knowledge,暑假“慧吃慧动”，让“神兽”远离肥胖（二）,慢性非传染性疾病,2024-08-09,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295115.html,published
cdc_k_295116,knowledge,三招教您辨别科学的糖尿病防治信息,慢性非传染性疾病,2023-11-22,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295116.html,published
