record_quarter,region,avg_temperature,min_temperature,max_temperature,avg_humidity,total_precipitation,avg_wind_speed,record_days
2025-Q1,三亚市,21.8,20.3,23.4,72.8,17.8,3.953333333333333,3
2025-Q1,上海市,8.200000000000001,5.8,12.4,64.0,117.80000000000001,2.486666666666667,3
2025-Q1,丽江市,6.6000000000000005,5.4,8.3,62.86666666666667,110.6,2.723333333333333,3
2025-Q1,乌鲁木齐市,-7.633333333333334,-11.8,0.4,75.16666666666667,31.4,1.5633333333333335,3
2025-Q1,兰州市,-0.3000000000000001,-3.7,3.7,46.6,19.8,1.0733333333333333,3
2025-Q1,北京市,3.0666666666666664,-1.0,10.2,28.633333333333336,14.9,2.1633333333333336,3
2025-Q1,南京市,7.599999999999999,5.0,12.1,62.73333333333333,70.0,2.4966666666666666,3
2025-Q1,南宁市,16.166666666666668,14.2,18.5,68.06666666666666,98.9,2.5066666666666664,3
2025-Q1,南昌市,10.233333333333334,7.8,13.6,66.93333333333334,223.4,2.5666666666666664,3
2025-Q1,厦门市,14.866666666666667,13.7,16.6,65.93333333333334,220.0,3.4,3
2025-Q1,合肥市,8.166666666666666,5.6,12.8,60.1,86.3,2.526666666666667,3
2025-Q1,吐鲁番市,2.1999999999999997,-4.9,10.1,36.53333333333333,1.2,1.1466666666666667,3
2025-Q1,呼伦贝尔市,-16.500000000000004,-20.8,-8.6,75.46666666666665,31.2,2.9933333333333336,3
2025-Q1,呼和浩特市,-5.333333333333333,-9.7,2.5,44.199999999999996,14.399999999999999,1.6166666666666665,3
2025-Q1,哈尔滨市,-10.799999999999999,-16.9,-1.2,71.06666666666668,26.2,2.6033333333333335,3
2025-Q1,喀什市,1.2333333333333332,-4.0,7.6,40.199999999999996,15.6,1.32,3
2025-Q1,大连市,1.4333333333333333,-1.0,6.3,51.800000000000004,17.200000000000003,3.783333333333333,3
2025-Q1,天津市,3.3666666666666667,-0.7,10.1,34.666666666666664,7.1,2.4466666666666668,3
2025-Q1,太原市,0.9666666666666667,-2.5,6.5,37.1,28.299999999999997,2.096666666666667,3
2025-Q1,宁波市,9.033333333333333,7.0,13.0,67.53333333333333,125.5,2.5100000000000002,3
2025-Q1,宜昌市,9.0,7.0,12.9,68.36666666666667,79.7,1.2333333333333334,3
2025-Q1,广州市,16.96666666666667,16.0,18.7,60.86666666666667,108.4,2.56,3
2025-Q1,康定市,-1.3666666666666665,-2.4,0.4,73.46666666666667,207.9,0.8300000000000001,3
2025-Q1,成都市,9.133333333333333,7.4,12.0,77.43333333333334,113.19999999999999,1.5266666666666666,3
2025-Q1,拉萨市,3.9333333333333336,2.5,5.9,26.2,22.0,1.71,3
2025-Q1,攀枝花市,15.033333333333333,12.3,17.9,57.13333333333333,28.9,1.1266666666666667,3
2025-Q1,昆明市,11.466666666666669,8.3,14.2,61.86666666666667,75.6,2.6633333333333336,3
2025-Q1,景洪市,20.066666666666666,17.5,22.7,69.96666666666665,61.9,1.0033333333333332,3
2025-Q1,杭州市,8.833333333333334,6.7,12.9,62.93333333333334,139.3,2.1300000000000003,3
2025-Q1,桂林市,12.4,9.8,15.1,64.16666666666667,328.2,2.8200000000000003,3
2025-Q1,武汉市,9.299999999999999,7.2,13.1,64.36666666666666,108.1,2.15,3
2025-Q1,沈阳市,-4.166666666666667,-9.1,4.1,52.4,30.9,2.526666666666667,3
2025-Q1,济南市,4.833333333333333,1.4,10.3,38.4,56.6,2.9633333333333334,3
2025-Q1,海口市,19.633333333333333,18.0,21.6,78.7,58.9,4.516666666666667,3
2025-Q1,深圳市,16.766666666666666,15.2,19.0,68.4,119.39999999999999,2.8699999999999997,3
2025-Q1,漠河市,-18.133333333333333,-22.3,-11.9,68.36666666666666,24.2,1.7066666666666668,3
2025-Q1,石家庄市,4.633333333333334,0.8,11.0,33.46666666666667,27.400000000000002,2.0133333333333336,3
2025-Q1,福州市,12.933333333333332,11.5,15.7,71.23333333333333,165.6,1.6833333333333333,3
2025-Q1,秦皇岛市,0.4666666666666665,-2.7,6.3,41.23333333333333,9.4,3.0566666666666666,3
2025-Q1,西宁市,-3.3000000000000003,-6.5,0.6,48.300000000000004,13.9,2.016666666666667,3
2025-Q1,西安市,5.333333333333333,1.2,11.2,56.46666666666666,65.6,1.93,3
2025-Q1,贵阳市,6.599999999999999,4.5,9.6,77.8,183.0,2.936666666666666,3
2025-Q1,郑州市,7.0,3.4,12.5,43.833333333333336,72.5,2.6933333333333334,3
2025-Q1,酒泉市,-2.5666666666666664,-6.1,2.4,34.43333333333333,10.3,1.7699999999999998,3
2025-Q1,重庆市,10.433333333333334,8.9,13.0,80.96666666666665,169.39999999999998,1.2633333333333334,3
2025-Q1,银川市,-1.9999999999999998,-6.0,4.2,43.36666666666667,20.7,2.1533333333333338,3
2025-Q1,长春市,-6.833333333333333,-11.6,1.1,57.70000000000001,31.299999999999997,2.7266666666666666,3
2025-Q1,长沙市,10.299999999999999,8.0,13.6,69.2,281.5,2.3533333333333335,3
2025-Q1,阿勒泰市,-9.033333333333333,-11.7,-4.2,64.19999999999999,60.400000000000006,0.87,3
2025-Q1,青岛市,4.233333333333333,1.9,8.6,56.76666666666667,81.0,3.5066666666666664,3
2025-Q2,三亚市,27.433333333333337,25.6,28.6,81.36666666666666,538.6,2.9466666666666668,3
