institution_id,institution_name,region,institution_type,institution_level,approved_beds,open_beds,clinical_departments,ct_available,mri_available,dsa_available,source,update_date
SC-HOSP-025,九〇三医院,绵阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-026,广元市第一人民医院,广元,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-027,广元市第二人民医院,广元,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-028,射洪市人民医院,遂宁,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-029,内江市第一人民医院,内江,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-030,内江市第二人民医院,内江,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-031,威远县人民医院,内江,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-032,资中县人民医院,内江,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-033,隆昌市人民医院,内江,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-034,乐山市市中区人民医院,乐山,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-035,营山县人民医院,南充,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-036,仪陇县人民医院,南充,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-037,邻水县人民医院,广安,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-038,巴中市中心医院,巴中,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-039,雅安市人民医院,雅安,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-040,资阳市人民医院,资阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-041,安岳县人民医院,资阳,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-042,阿坝藏族羌族自治州人民医院,阿坝,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-043,汶川县人民医院,阿坝,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
SC-HOSP-044,甘孜藏族自治州人民医院,甘孜,综合医院,三级,无法确认,无法确认,无法确认,无法确认,无法确认,无法确认,https://wsjkw.sc.gov.cn/scwsjkw/gggs/2022/8/4/102c243368424b3fa16d977239f3eff4.shtml,2022-08-04
